ID,Crop Name,Value
1,Avocados,3534.1
2,Bananas,31733.4
3,Cabbages,16245.8
4,Carrots,12457.6
5,Cashew nuts,5354.4
6,Broccoli,10161.2
7,Cauliflowers and broccoli,10161.2
8,Chicory roots,9054.7
9,Chili,4628.1
10,Cocoa beans,326.6
11,"Coconuts, in shell",4063.3
12,"Coffee, green",266
13,Pepper,4628.1
14,Cow peas,1645.8
15,Cucumbers,7116
16,Eggplants,10842.3
17,Ginger,6053.2
18,Grapes,602.8
19,Lime,2008.9
20,Lemons,2008.9
21,Lettuce,4568.2
22,Corn,3307.7
23,Guavas,4002
24,Mangosteens,4002
25,Mangoes,4002
26,Okra,7483.2
27,Shallots,11840
28,Onions,11840
29,Oranges,1612.7
30,Papayas,20102.9
31,Pepper,624.9
32,Pineapples,42578.6
33,Pomelos and grapefruits,5107.9
34,Potatoes,16080.7
35,Pumpkins,13556.6
36,Rice,4165.4
37,Sorghum,6156.8
38,Spinach,2253.2
39,Strawberries,9588.5
40,Sugar cane,52929.7
41,Sweet potatoes,5767.5
42,Mandarinas,1128.3
43,Clementines,1128.3
44,Tangerines,1128.3
45,Taro,6753
46,Tomatoes,14682.1
47,Watermelons,14965.8
48,Yams,5166.1
